EX401
Date:,2025/01/17
Time:,11:10:46
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,HEAD_X,HEAD_Y,HEAD_Z,PELVIS_X,PELVIS_Y,PELVIS_Z
1634,-409.318604,256.520172,520.405640,66.033867,420.926208,80.747597
1635,-409.620544,256.657623,520.829773,65.967667,420.829071,80.742859
1636,-409.737610,256.824493,521.013367,65.881020,420.765381,80.667778
1637,-409.807343,257.026733,521.226929,65.782379,420.734222,80.550201
1638,-409.929230,257.182159,521.548523,65.662270,420.593231,80.479858
1639,-410.043243,257.325317,521.701050,65.508354,420.545868,80.313904
1640,-410.171997,257.405945,521.842712,65.429680,420.514557,80.200470
1641,-410.285339,257.454987,521.977051,65.249466,420.572479,80.035515
1642,-410.315552,257.556610,521.987854,65.051460,420.478851,79.923439
1643,-410.427582,257.668457,522.027283,64.923210,420.415924,79.803947
1644,-410.527283,257.756866,522.055481,64.813866,420.341431,79.748680
1645,-410.667084,257.900055,522.026184,64.752510,420.262756,79.721527
1646,-410.839600,257.990997,521.986084,64.712006,420.188904,79.774078
1647,-411.045349,258.068329,521.886841,64.657074,420.185760,79.732399
1648,-411.310028,258.135834,521.706665,64.664986,420.214783,79.758965
1649,-411.615784,258.168915,521.546204,64.688812,420.343201,79.674774
1650,-411.744904,258.348907,521.265564,64.735741,420.337372,79.670746
1651,-411.982574,258.285767,521.229248,64.795280,420.393494,79.698174
1652,-412.264374,258.274323,521.056213,64.846634,420.510986,79.785858
1653,-412.678467,258.168213,520.971191,64.897934,420.668213,79.816444
1654,-412.998993,258.259766,520.764893,64.997147,420.762939,79.893982
1655,-413.264984,258.253998,520.532166,65.108208,420.888184,79.922279
1656,-413.602875,258.264893,520.284058,65.280235,420.922028,80.056915
1657,-413.939728,258.232910,519.896362,65.402405,420.944458,80.154991
1658,-414.227997,258.170746,519.423828,65.605331,421.023254,80.317520
1659,-414.728119,258.135986,518.938232,65.743347,421.129822,80.402039
1660,-414.704315,258.051483,518.400696,65.915260,421.168396,80.554848
1661,-415.021393,258.071777,517.836304,66.099861,421.227325,80.544144
1662,-415.340637,258.051941,517.578979,66.281387,421.356476,80.618629
1663,-415.361359,258.197784,516.612183,66.501427,421.623840,80.659073
1664,-415.582886,257.929077,516.031372,66.840668,421.918335,80.804802
1665,-415.702759,257.737457,515.591125,66.977692,422.052490,80.914330
1666,-415.699493,257.464722,514.968811,67.132347,422.242737,80.879166
1667,-415.850922,257.424835,514.580750,67.267754,422.474915,80.860245
1668,-415.977234,257.241180,513.968018,67.351601,422.577972,80.974503
1669,-415.995331,256.892914,513.432800,67.483742,422.608582,81.129951
1670,-415.950714,256.750641,512.905151,67.614876,422.672913,81.214684
1671,-415.987701,256.636841,512.363586,67.707863,422.728149,81.300209
1672,-416.004913,256.438385,511.867432,67.773224,422.705292,81.398277
1673,-416.043243,256.165771,511.322571,67.897133,422.871124,81.347588
1674,-416.040619,255.923508,510.644531,68.046188,422.991516,81.288895
1675,-415.923584,255.787186,510.342987,68.167923,423.469177,80.883080
1676,-415.925018,255.703049,510.008270,68.510895,423.499634,81.052910
1677,-415.947845,255.599884,509.675232,68.630608,423.923523,80.688629
