EX301
Date:,2000/01/01
Time:,00:00:00
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,HIP_R_X,HIP_R_Y,HIP_R_Z,KNE_R_X,KNE_R_Y,KNE_R_Z,HIP_L_X,HIP_L_Y,HIP_L_Z,KNE_L_X,KNE_L_Y,KNE_L_Z
1240,-6.574740,592.924683,85.116135,-249.092834,600.189697,387.756287,8.247945,213.059311,53.342663,-235.963181,166.882004,374.984283
1241,-6.575653,592.926025,85.117805,-249.080688,600.177856,387.775146,8.281760,213.046967,53.337772,-235.882202,166.736923,374.926147
1242,-6.512639,592.943237,85.106239,-249.070755,600.186401,387.756531,8.362442,212.999786,53.307060,-235.839890,166.571579,374.909332
1243,-6.510706,592.943542,85.106102,-249.019562,600.161011,387.773987,8.399915,212.945496,53.302589,-235.674286,166.425186,374.795135
1244,-6.521945,592.903198,85.193405,-249.003235,600.112854,387.762024,8.405763,212.865463,53.247795,-235.643387,166.203964,374.880463
1245,-6.483687,592.867920,85.175056,-249.043396,600.084106,387.777222,8.451513,212.850922,53.222496,-235.598480,166.063950,374.828308
1246,-6.536594,592.845032,85.182358,-249.049561,600.051880,387.778961,8.461923,212.765305,53.233944,-235.530899,165.891953,374.818695
1247,-6.515738,592.790161,85.195564,-249.050156,599.950989,387.804962,8.480227,212.732147,53.158482,-235.487366,165.828094,374.756714
1248,-6.525435,592.776672,85.272957,-249.102707,599.881531,387.811005,8.485276,212.731689,53.111805,-235.456589,165.708817,374.769806
1249,-6.512882,592.716980,85.282654,-249.139709,599.782410,387.812134,8.509251,212.666855,53.062080,-235.422791,165.594650,374.725922
1250,-6.589394,592.666077,85.313065,-249.204514,599.649292,387.796661,8.516374,212.661301,53.008472,-235.366562,165.439301,374.656738
1251,-6.625238,592.649353,85.308449,-249.314438,599.473328,387.797150,8.474557,212.587631,52.958130,-235.273956,165.237259,374.658539
1252,-6.609159,592.615234,85.325294,-249.442032,599.256104,387.793304,8.472013,212.568085,52.879551,-235.224594,165.088531,374.609802
1253,-6.677418,592.546265,85.354836,-249.585785,599.076172,387.872559,8.505412,212.525330,52.819553,-235.185883,164.943176,374.646820
1254,-6.749845,592.486450,85.398933,-249.746964,598.944885,387.953339,8.484671,212.499710,52.765171,-235.145554,164.807907,374.605682
1255,-6.755726,592.447632,85.466896,-249.763306,598.765015,387.990875,8.439459,212.454941,52.701015,-235.080765,164.652435,374.532471
1256,-6.788749,592.356079,85.493080,-249.881287,598.584351,388.051544,8.444794,212.450958,52.631920,-235.000122,164.548080,374.509644
1257,-6.812508,592.328308,85.580711,-249.901962,598.463928,388.073364,8.466120,212.370560,52.598263,-234.912476,164.491104,374.435974
1258,-6.872752,592.283936,85.616302,-249.989517,598.338196,388.137848,8.450212,212.337494,52.509056,-234.861603,164.436417,374.381683
1259,-6.877721,592.203369,85.593155,-250.066650,598.238586,388.133423,8.462967,212.332138,52.455524,-234.681931,164.375641,374.281128
1260,-6.987035,592.108215,85.620583,-250.117203,598.098450,388.186981,8.461845,212.259399,52.420750,-234.630203,164.295166,374.277069
1261,-6.911651,592.055298,85.649071,-250.186447,598.010742,388.212769,8.453407,212.218094,52.383835,-234.561371,164.231613,374.259064
1262,-6.955976,591.998535,85.707451,-250.253632,597.925659,388.228516,8.521989,212.159882,52.302414,-234.561523,164.161346,374.223022
1263,-6.956686,591.970032,85.757744,-250.336990,597.843628,388.220947,8.542690,212.116791,52.264984,-234.508942,164.128021,374.194611
1264,-6.943774,591.869873,85.807632,-250.332840,597.781982,388.249237,8.535802,212.100601,52.237587,-234.484863,164.082291,374.143860
1265,-6.901667,591.787781,85.873306,-250.393372,597.718506,388.245575,8.604325,212.085159,52.175060,-234.432419,164.038116,374.111877
1266,-6.977112,591.706665,85.924026,-250.460007,597.709473,388.252014,8.633410,212.038162,52.175442,-234.395584,164.025681,374.100586
1267,-6.954349,591.680542,85.979584,-250.531448,597.682251,388.228485,8.617307,212.001678,52.157902,-234.386826,164.015198,374.063629
1268,-6.956663,591.695496,86.033447,-250.532272,597.681641,388.227814,8.670668,212.024628,52.116776,-234.461761,163.971878,374.114349
1269,-6.865366,591.684814,86.093010,-250.558273,597.667908,388.230469,8.730668,211.949127,52.135666,-234.308014,163.940613,374.003021
1270,-6.820335,591.637024,86.084564,-250.590958,597.714539,388.204315,8.760251,211.942749,52.137634,-234.276093,163.937988,373.977386
1271,-6.863453,591.614563,86.126595,-250.634521,597.755859,388.175690,8.832920,211.900650,52.089058,-234.384811,163.928040,374.038788
1272,-6.862195,591.590820,86.118134,-250.646576,597.825073,388.077332,8.888425,211.793625,52.131371,-234.262909,163.906876,373.946259
1273,-6.853610,591.487183,86.113853,-250.672104,597.915222,388.114380,8.946439,211.497238,52.281483,-234.202667,163.872162,373.936432
