EX402
Date:,2025/01/17
Time:,11:16:56
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,HEAD_X,HEAD_Y,HEAD_Z,PELVIS_X,PELVIS_Y,PELVIS_Z
1181,-405.554871,154.732590,415.762268,71.659599,401.984650,109.378677
1182,-405.742279,154.874893,415.469940,71.726044,402.167480,109.556984
1183,-406.418610,154.769791,414.971497,71.660706,402.417023,109.387810
1184,-406.910614,154.661011,414.408661,71.570801,402.570923,109.303741
1185,-407.559937,154.618149,413.604950,71.439514,402.740173,109.165276
1186,-408.235565,154.941452,412.525116,71.209251,402.922455,109.006203
1187,-408.791168,154.935776,411.415344,71.056801,403.122437,108.895149
1188,-409.803680,154.857040,410.454132,70.851822,403.118927,108.940918
1189,-410.642670,155.590881,409.101654,70.619743,402.976227,109.222610
1190,-411.257629,156.120361,407.828766,70.251541,402.966003,109.460297
1191,-412.425659,156.282074,406.790070,69.869499,403.020782,109.635193
1192,-413.125000,156.564087,406.240784,69.652443,403.094940,109.790871
1193,-413.803009,156.753555,406.285034,69.147560,403.409088,109.926102
1194,-415.045959,157.041809,406.370605,68.838318,403.726990,109.915947
1195,-415.888641,157.215332,406.417450,68.380455,404.315552,109.817619
1196,-417.023987,157.190491,406.945221,67.955139,404.862152,109.681679
1197,-418.160889,157.201553,407.286835,67.716064,404.910248,109.911369
1198,-419.189911,157.543198,407.816711,67.499657,404.793732,110.172348
1199,-420.373047,157.741257,408.006256,67.119179,405.308990,110.260002
1200,-421.482819,157.592056,408.355255,66.748787,405.862183,110.053558
1201,-422.323151,157.599167,408.408173,66.424698,406.303894,110.024086
1202,-423.500885,157.459991,408.209412,65.986382,406.545410,110.044914
1203,-424.270966,157.506653,408.151672,65.535339,406.465240,110.226021
1204,-425.389069,157.441147,407.952118,65.316193,406.362549,110.299675
1205,-426.287567,157.460907,407.503845,65.038734,406.368622,110.140533
1206,-426.892090,157.220490,406.712067,64.816582,406.089996,110.323547
1207,-427.536591,157.072083,405.953918,64.605278,405.891022,110.610207
1208,-428.076202,156.921219,405.210052,64.365730,405.921478,110.654572
1209,-428.859192,156.706100,403.989258,64.133904,406.147644,110.711891
1210,-429.281067,156.429321,403.095276,64.138161,406.198303,110.737297
1211,-429.582458,156.323715,402.305054,64.112289,406.380768,110.717796
1212,-429.815216,156.154892,400.800720,64.120430,406.431885,110.743546
1213,-429.979218,155.853333,399.985870,64.165878,406.534363,110.739388
1214,-430.296509,155.807693,398.875305,64.122719,406.439667,110.747612
1215,-430.261200,155.602814,397.506226,64.091782,406.294983,110.730499
1216,-430.509308,155.590134,396.310486,64.018661,406.052551,110.723572
1217,-430.443604,155.372101,395.680481,64.003647,405.484009,110.772408
1218,-430.878815,155.319092,394.362274,63.880310,404.947235,110.863289
1219,-430.967804,155.076248,393.277191,63.624866,404.536865,110.817818
1220,-431.053955,155.351761,392.355011,63.388760,404.127319,110.558746
1221,-431.503143,155.209946,391.432861,63.312683,403.767548,110.218658
1222,-431.783936,154.655853,390.870911,63.206676,403.390991,109.930496
1223,-432.288208,155.182785,389.521637,63.025444,402.802460,109.867027
1224,-432.756317,154.879669,388.641052,62.973461,401.899536,110.070274
1225,-433.366241,154.712021,387.737701,62.994560,400.930206,110.378815
1226,-433.742157,155.240768,385.999146,62.889645,400.377808,110.564896
1227,-434.126465,155.574203,384.294922,62.694756,399.795868,110.565033
1228,-434.685181,155.165771,383.295807,62.128635,398.942627,109.942848
1229,-435.647858,155.293121,381.673248,61.987270,398.403320,109.499687
1230,-436.487183,154.851181,380.704437,62.204266,397.560242,109.247421
1231,-437.243530,154.642670,379.031830,62.201355,396.934967,109.411217
1232,-437.720459,154.233261,377.597809,62.229027,396.118713,109.631760
1233,-438.542328,154.299789,375.943634,62.302311,395.091736,109.635559
1234,-439.496490,153.891739,374.482819,61.907852,394.432770,109.436943
1235,-440.353485,153.355957,372.915619,61.631653,393.971588,109.108948
1236,-440.839447,153.562088,371.582550,61.758163,392.933014,108.907280
1237,-441.425385,152.939743,369.756592,61.648190,391.687500,108.868095
1238,-442.351807,152.635544,368.380432,61.375931,391.035553,108.680099
1239,-443.085999,152.270630,367.082153,61.074581,390.324707,108.554695
1240,-443.722412,151.797012,365.467133,60.841259,389.563751,108.276390
1241,-444.216064,151.514389,364.214020,60.729050,388.466705,107.993927
1242,-444.786652,151.265839,362.892273,60.554996,387.585602,107.732811
1243,-445.342224,150.814697,361.970001,60.190739,387.062988,107.695572
1244,-446.401978,150.394058,360.489685,59.920040,386.321899,107.544121
1245,-447.010712,150.059952,359.682343,59.697121,385.403564,107.440010
1246,-447.655731,149.679031,358.511841,59.376617,384.387268,107.374474
1247,-448.238037,149.147964,357.489990,59.002579,383.638550,107.302353
1248,-448.928070,148.845184,356.635590,58.641644,383.707367,106.504906
1249,-449.911591,148.491135,355.393829,58.494930,383.405212,106.194855
1250,-450.433868,148.096420,354.689545,58.542709,382.735901,106.057266
1251,-450.802826,147.759796,353.543365,58.455833,382.062836,105.874458
1252,-451.344360,147.566681,352.301849,58.308727,381.321411,105.949120
1253,-451.616882,147.380081,351.400909,58.247681,380.782104,106.127319
1254,-451.941406,147.306335,350.030060,58.027981,380.471436,105.999557
1255,-452.072174,148.054718,347.765991,57.890511,380.100983,105.801674
1256,-452.426941,147.979813,346.703369,57.880672,379.832428,105.686256
1257,-452.781067,147.709381,345.700500,57.994419,379.585419,105.574669
1258,-453.073395,147.521301,344.753174,58.114632,379.490662,105.307549
1259,-453.332703,147.284286,343.761047,58.133896,379.319855,105.213287
1260,-453.447571,146.970016,342.929657,58.151188,379.165680,105.122078
1261,-453.508148,146.732529,342.231964,58.182018,379.018555,105.120987
1262,-453.718719,146.306198,341.316010,58.232803,379.041656,105.002983
1263,-453.941589,146.122803,340.494354,58.259438,379.046051,104.956207
1264,-453.689056,145.745117,339.980865,58.274998,379.047180,104.896355
1265,-453.364258,145.558273,339.374146,58.301022,379.165802,104.811569
1266,-453.150116,145.386383,338.940704,58.265182,379.299194,104.741676
1267,-452.903168,145.146805,338.684143,58.289982,379.513947,104.668983
1268,-452.658478,144.826157,338.339447,58.314987,379.792419,104.602852
1269,-452.372162,144.540268,338.193359,58.398949,380.096893,104.552307
1270,-452.093018,144.495453,337.862885,58.768768,380.158295,104.475258
1271,-451.831757,144.602463,337.599396,59.295940,379.847412,104.962685
1272,-451.437073,144.604889,337.483612,59.503311,379.929565,104.931389
1273,-450.943909,144.470932,337.501648,59.754456,379.980560,104.678490
1274,-450.501373,144.263412,337.609863,59.903851,380.471283,104.080872
1275,-450.103058,144.229599,337.719818,60.043030,380.798218,104.104332
1276,-449.719299,144.416611,337.796112,60.236313,380.954590,104.126297
1277,-449.466156,144.614182,338.105896,60.414066,381.044891,104.162926
1278,-448.864624,144.826752,338.710266,60.551254,381.187988,104.174400
1279,-448.004761,144.836853,339.529877,60.682476,381.226685,104.173370
1280,-447.392487,144.955170,340.321686,60.771206,381.313934,104.129890
1281,-446.756104,145.276428,341.479889,60.838833,381.337616,104.146202
1282,-446.125458,145.339645,342.620026,60.956783,381.409851,104.162392
1283,-444.898743,145.645905,344.115601,61.113564,381.517670,104.203026
1284,-443.853607,145.855179,345.582397,61.257061,381.701385,104.215355
1285,-443.038544,146.466827,347.346954,61.365311,381.797760,104.290405
1286,-441.520294,146.369186,349.465637,61.476460,381.971313,104.305260
1287,-440.340912,146.420746,351.328674,61.547935,382.091736,104.406944
1288,-438.784515,146.638229,353.657196,61.596554,382.187012,104.566437
1289,-437.353699,147.035217,356.139587,61.722492,382.243195,104.786339
1290,-434.964600,147.503250,358.643585,61.849419,382.353760,105.045708
1291,-433.582733,147.827896,361.478638,61.973118,382.570465,105.259933
1292,-431.486755,148.192261,364.115753,62.146618,382.802338,105.483803
1293,-429.142639,148.831528,366.865051,62.247040,383.133087,105.676277
1294,-426.590393,149.328247,369.657959,62.397099,383.628326,105.907356
1295,-424.081512,149.221939,372.846313,62.551655,384.077759,106.071266
1296,-421.309326,149.847382,376.320862,62.636154,384.627808,106.098701
1297,-418.437103,150.411499,380.178833,62.526146,384.875275,106.529434
1298,-415.478943,151.025925,384.120361,62.424545,385.254181,107.065979
1299,-412.142212,151.779053,388.565887,62.244682,386.097565,107.285591
1300,-408.136658,152.708038,393.386475,62.232254,386.690582,107.323151
1301,-404.162933,153.820053,398.298462,62.180756,387.554077,107.014084
1302,-400.146729,154.785522,403.888153,62.048714,387.871826,107.696877
1303,-395.758301,156.031998,409.398743,61.772472,389.484741,107.220978
1304,-391.077972,157.331924,415.561401,61.826134,390.412689,107.618454
1305,-386.058197,159.419540,421.377380,61.724060,391.153625,107.955704
1306,-381.476166,160.943726,427.271454,61.590981,392.142883,108.162529
1307,-376.738770,163.187576,433.218018,61.462284,393.269745,108.357086
1308,-372.276764,165.312393,438.650879,61.258236,394.036926,108.520515
1309,-368.259491,167.095337,444.640991,61.246254,394.722260,108.558182
1310,-364.640076,168.943665,450.269043,61.382458,395.336517,108.445961
1311,-361.506744,170.137863,455.357086,61.375572,396.022736,108.475563
1312,-359.084229,170.861984,460.312103,61.459930,396.873199,108.424278
1313,-357.427856,171.823807,463.713470,61.616455,397.538330,108.252594
1314,-356.247711,172.662994,466.795044,61.740211,397.832611,108.532745
1315,-355.470886,173.362823,469.136810,61.910164,398.233093,108.618385
1316,-354.909271,174.154816,471.195892,62.530998,398.781464,108.648590
1317,-354.694733,174.670822,472.795502,63.334454,399.448700,108.638725
1318,-354.489502,174.984726,474.223480,64.080627,399.671082,109.067841
1319,-354.541473,175.044647,474.560852,64.750511,399.681427,109.734520
1320,-354.629242,175.277664,474.729919,65.553482,399.927917,110.109344
1321,-354.812775,175.350281,474.622650,66.147926,400.287720,109.958778
1322,-355.547455,175.562866,474.136383,66.594177,400.455688,110.069420
1323,-356.982452,175.960419,473.013153,66.835869,400.258636,110.286079
1324,-358.328857,176.223495,471.470337,66.902122,400.108429,110.298332
1325,-360.094055,176.389023,469.954285,66.641762,399.983582,110.192650
1326,-362.555054,176.595169,467.984894,66.225128,399.806732,109.877190
1327,-365.052399,176.967377,465.278412,65.931335,399.629486,109.645355
1328,-368.019836,177.280426,462.356354,65.567635,399.206238,109.445503
1329,-371.817413,177.414703,459.116455,64.982300,398.581604,109.109192
1330,-376.472198,177.207443,456.012421,64.223198,397.892212,108.959183
1331,-380.867523,176.851166,453.188141,63.222778,397.268188,108.542313
1332,-385.219086,176.910904,451.031586,61.843254,396.587189,108.313042
1333,-388.545471,176.731964,449.653687,60.390762,396.055634,107.827881
1334,-391.850128,177.069046,449.161377,58.576752,396.054626,107.491470
1335,-394.789093,176.963715,449.599731,57.073761,395.615692,107.205284
1336,-397.579285,177.245026,450.168396,55.293438,395.274139,107.040855
1337,-399.803070,177.249725,450.934021,53.898659,394.734436,107.440361
1338,-402.276123,177.623734,451.731323,52.046970,394.101929,108.047501
1339,-404.272827,177.849594,452.264832,50.675507,394.031342,108.446228
1340,-406.675293,178.356018,453.036560,49.150532,394.068176,108.427895
1341,-408.615906,178.783096,453.671082,47.996399,393.464142,108.639084
1342,-410.829437,179.422775,454.614471,46.743473,393.635651,108.673325
1343,-412.348114,179.998764,455.554993,45.421860,393.391479,108.775116
1344,-414.017395,180.666595,456.350403,44.661659,393.015869,108.993111
