Objects
100
,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
236,0,-0.321336,-0.216641,2.838189,26.945593,110.120209,674.184265
237,0,-0.322612,-0.219011,2.838164,26.865074,110.049431,674.188965
238,0,-0.324447,-0.223177,2.837564,26.718628,109.807854,674.210876
239,0,-0.324944,-0.228697,2.836143,26.559551,109.543808,674.249634
240,0,-0.325292,-0.233310,2.834771,26.479116,109.368179,674.270386
241,0,-0.324582,-0.233305,2.834106,26.478582,109.348953,674.245728
242,0,-0.322735,-0.229492,2.834033,26.586340,109.491974,674.195679
243,0,-0.321799,-0.224130,2.834496,26.708975,109.688072,674.148682
244,0,-0.321624,-0.221024,2.834601,26.797195,109.845619,674.120300
245,0,-0.322213,-0.221275,2.834079,26.738424,109.827644,674.125122
246,0,-0.323798,-0.224813,2.832646,26.566414,109.590477,674.156921
247,0,-0.328389,-0.233427,2.831372,26.299597,109.162773,674.221375
248,0,-0.342006,-0.212782,2.843740,25.935762,108.295555,673.991211
249,0,-0.346466,-0.219630,2.844774,25.679598,107.805130,674.086182
250,0,-0.346479,-0.222924,2.845112,25.507410,107.427521,674.121643
251,0,-0.345569,-0.223195,2.845007,25.485367,107.303986,674.158936
252,0,-0.344503,-0.219751,2.844930,25.632286,107.499603,674.150940
253,0,-0.331130,-0.241394,2.832412,25.953835,108.254295,674.391663
254,0,-0.325625,-0.231905,2.831666,26.264322,108.850639,674.274841
255,0,-0.322568,-0.219993,2.832286,26.506611,109.351501,674.176086
256,0,-0.323599,-0.216951,2.833490,26.572205,109.560410,674.149170
257,0,-0.326411,-0.219228,2.833716,26.456238,109.488907,674.171692
258,0,-0.329406,-0.226953,2.832264,26.235641,109.163704,674.241394
259,0,-0.329493,-0.227649,2.832021,26.001961,108.622017,674.203247
260,0,-0.332906,-0.234461,2.832941,25.819935,108.265717,674.297363
261,0,-0.333739,-0.236872,2.833216,25.749453,108.072784,674.332886
262,0,-0.332073,-0.236007,2.832663,25.835207,108.098946,674.301147
263,0,-0.340211,-0.210532,2.843854,25.946259,108.076385,674.050049
264,0,-0.340043,-0.216800,2.842842,26.172464,108.512108,674.151123
265,0,-0.325527,-0.228419,2.831211,26.425102,109.055038,674.218506
266,0,-0.324715,-0.224948,2.831463,26.507959,109.206345,674.145630
267,0,-0.326371,-0.228285,2.831612,26.429417,109.089256,674.181396
268,0,-0.331137,-0.236590,2.831889,26.240725,108.759644,674.273193
269,0,-0.344425,-0.210011,2.844975,25.930872,108.015587,674.019775
270,0,-0.348885,-0.215973,2.845170,25.749109,107.657265,674.103027
271,0,-0.351855,-0.222483,2.845706,25.633369,107.441986,674.185608
272,0,-0.352672,-0.223804,2.845460,25.652210,107.421318,674.201477
